Order ID,Order Total,Order Subtotal,Order Currency,Order Subtotal Excl. Tax,Shipping Incl. Tax,Shipping Excl. Tax,Payment Gateway ID,Payment Gateway,Shipping Method ID
24156,"71,39","58,9",BRL,"71,39",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24157,"111,17","97,8",BRL,"111,17",13.37,"13,37",asaas-ticket,Boleto Bancario,correios-sedex
24175,"277,72","175,4",BRL,"277,72",102.32,"102,32",asaas-ticket,Boleto Bancario,correios-sedex
24176,"225,53","149,5",BRL,"225,53",76.03,"76,03",asaas-ticket,Boleto Bancario,correios-sedex
24177,"52,19","25,9",BRL,"52,19",26.29,"26,29",asaas-ticket,Boleto Bancario,correios-pac
24178,"227,81","227,81",BRL,"227,81",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24183,"91,67",58,BRL,"91,67",33.67,"33,67",asaas-ticket,Boleto Bancario,correios-sedex
24190,"76,87","63,5",BRL,"76,87",13.37,"13,37",pagseguro,Cartao de Credito,correios-sedex
24197,"152,22","119,9",BRL,"152,22",32.32,"32,32",asaas-ticket,Boleto Bancario,correios-sedex
24205,"49,14",38,BRL,"49,14",11.14,"11,14",asaas-ticket,Boleto Bancario,correios-sedex
24217,"235,44",168,BRL,"235,44",67.44,"67,44",asaas-ticket,Boleto Bancario,correios-sedex
24273,"155,18","109,3",BRL,"155,18",45.88,"45,88",asaas-ticket,Boleto Bancario,correios-sedex
24276,"93,92",40,BRL,"93,92",53.92,"53,92",asaas-ticket,Boleto Bancario,correios-sedex
24277,"54,99","42,5",BRL,"54,99",12.49,"12,49",asaas-ticket,Boleto Bancario,correios-sedex
24467,"40,14",29,BRL,"40,14",11.14,"11,14",asaas-ticket,Boleto Bancario,correios-sedex
24507,"40,14",29,BRL,"40,14",11.14,"11,14",asaas-ticket,Boleto Bancario,correios-sedex
24533,"166,95","131,92",BRL,"166,95",35.03,"35,03",pagseguro,Cartao de Credito,correios-sedex
24553,"152,68","111,7",BRL,"152,68",40.98,"40,98",asaas-ticket,Boleto Bancario,correios-pac
24554,"77,42","58,5",BRL,"77,42",18.92,"18,92",asaas-ticket,Boleto Bancario,correios-pac
24555,"75,26","53,2",BRL,"75,26",22.06,"22,06",asaas-ticket,Boleto Bancario,correios-sedex
24556,"125,37","51,8",BRL,"125,37",73.57,"73,57",pagseguro,Cartao de Credito,correios-sedex
24049,"119,9","119,9",BRL,"119,9",0.0,0,pagseguro,Cartao de Credito,advanced_free_shipping
24058,"119,1","53,11",BRL,"119,1",65.99,"65,99",pagseguro,Cartao de Credito,correios-sedex
24059,"62,17","28,5",BRL,"62,17",33.67,"33,67",pagseguro,Cartao de Credito,correios-sedex
24060,"56,93","24,61",BRL,"56,93",32.32,"32,32",pagseguro,Cartao de Credito,correios-sedex
24061,"495,53",404,BRL,"495,53",91.53,"91,53",asaas-ticket,Boleto Bancario,correios-sedex
24062,"277,3",228,BRL,"277,3",49.3,"49,3",asaas-ticket,Boleto Bancario,correios-sedex
24063,"218,23",176,BRL,"218,23",42.23,"42,23",asaas-ticket,Boleto Bancario,correios-sedex
24070,"38,04","26,9",BRL,"38,04",11.14,"11,14",pagseguro,Cartao de Credito,correios-sedex
24072,"253,5","204,2",BRL,"253,5",49.3,"49,3",pagseguro,Cartao de Credito,correios-sedex
24073,"124,42","97,29",BRL,"124,42",27.13,"27,13",asaas-ticket,Boleto Bancario,correios-sedex
24075,"152,22","119,9",BRL,"152,22",32.32,"32,32",asaas-ticket,Boleto Bancario,correios-sedex
24078,"231,1","150,29",BRL,"231,1",80.81,"80,81",asaas-ticket,Boleto Bancario,correios-sedex
24080,"217,5","217,5",BRL,"217,5",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24081,"392,3","243,63",BRL,"392,3",148.67,"148,67",asaas-ticket,Boleto Bancario,correios-sedex
24082,"148,73","106,5",BRL,"148,73",42.23,"42,23",asaas-ticket,Boleto Bancario,correios-sedex
24083,"227,81","227,81",BRL,"227,81",0.0,0,asaas-ticket,Boleto Bancario,advanced_free_shipping
24084,"428,69",256,BRL,"428,69",172.69,"172,69",asaas-ticket,Boleto Bancario,correios-pac
24085,"156,56",116,BRL,"156,56",40.56,"40,56",asaas-ticket,Boleto Bancario,correios-pac
24086,"151,07","63,5",BRL,"151,07",87.57,"87,57",asaas-ticket,Boleto Bancario,correios-sedex
24087,"121,06","76,5",BRL,"121,06",44.56,"44,56",asaas-ticket,Boleto Bancario,correios-pac
24089,"145,07","119,9",BRL,"145,07",25.17,"25,17",asaas-ticket,Boleto Bancario,correios-pac
24090,"93,65","80,28",BRL,"93,65",13.37,"13,37",asaas-ticket,Boleto Bancario,correios-sedex
24091,"148,49","131,7",BRL,"148,49",16.79,"16,79",pagseguro,Cartao de Credito,correios-sedex
24092,"105,59",81,BRL,"105,59",24.59,"24,59",pagseguro,Cartao de Credito,correios-sedex
24093,"83,87","70,5",BRL,"83,87",13.37,"13,37",asaas-ticket,Boleto Bancario,correios-sedex
